"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"cognitive diversity",">","linguistic frame of reference",NA,"","","","","","majid2004can"
"cognitive diversity",">","non-linguistic frame of reference",NA,"","","","","","majid2004can"
"cognitive diversity",">","gestural frame of reference",NA,"","","","","","majid2004can"
"non-linguistic frame of reference","<=>","gestural frame of reference",NA,"Spatial language;Deixis","cultural evolution","review","yes","Iconic gestures (e.g. depicting a movement trajectory) and pointing gestures can reflect aspects of a speaker’s non-linguistic spatial representation","majid2004can"
"linguistic frame of reference","<=>","gestural frame of reference",NA,"Spatial language;Deixis","cultural evolution","review","yes","Analysis of gestures in different cultures reveals that the default gestural FoR matches the predominant linguistic FoR.","majid2004can"
"linguistic frame of reference","<=>","non-linguistic frame of reference",NA,"Spatial language;Deixis","cultural evolution","experiment","yes","people do indeed use different non-linguistic FoRs to do the same tasks, and that these non-linguistic FoRs align with the preferred FoR of their language","majid2004can"
"non-linguistic frame of reference",">","absolute frame of reference",NA,"Spatial language;Deixis","cultural evolution","model","yes","","majid2004can"
"non-linguistic frame of reference",">","intrinsic frame of reference",NA,"Spatial language;Deixis","cultural evolution","model","yes","","majid2004can"
"non-linguistic frame of reference",">","relative frame of reference",NA,"Spatial language;Deixis","cultural evolution","model","yes","","majid2004can"
"gestural frame of reference",">","intrinsic frame of reference",NA,"Spatial language;Deixis","cultural evolution","model","yes","","majid2004can"
"gestural frame of reference",">","absolute frame of reference",NA,"Spatial language;Deixis","cultural evolution","model","yes","","majid2004can"
"gestural frame of reference",">","relative frame of reference",NA,"Spatial language;Deixis","cultural evolution","model","yes","","majid2004can"
"linguistic frame of reference",">","intrinsic frame of reference",NA,"Spatial language;Deixis","cultural evolution","model","yes","strategy for specifying the spatial relationship between the thing to be located (referent or figure) and the landmark (or ground object). Example - intrinsic FoR: ‘the fork is beside the spoon","majid2004can"
"linguistic frame of reference",">","absolute frame of reference",NA,"Spatial language;Deixis","cultural evolution","model","yes","strategy for specifying the spatial relationship between the thing to be located (referent or figure) and the landmark (or ground object). Example - absolute FoR: ‘the fork is to the north of the spoon","majid2004can"
"linguistic frame of reference",">","relative frame of reference",NA,"Spatial language;Deixis","cultural evolution","model","yes","strategy for specifying the spatial relationship between the thing to be located (referent or figure) and the landmark (or ground object). Example - relative FoR: ‘the fork is to the left of the spoon","majid2004can"
"language diversity","<=>","cognitive diversity",NA,"Spatial language;Deixis","cultural evolution","review","yes","linguistic diversity aligns with cognitive diversity, as shown in people’s language independent solutions to spatial tasks and un-selfconscious gestures accompanying speech; Rather than cognitive categories being universal and giving rise to universal semantic categories, as is typically supposed, it seems that cognitive categories are variable and they align with cross-linguistically variable semantic categories","majid2004can"
