"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"communication with non-native speakers",">","compositionality","pos","","none","qualitative","none","","wraygrace2007"
"communication with non-native speakers",">","linguistic complexity","neg","","none","qualitative","none","","wraygrace2007"
"compositionality",">","learning cost","neg","","none","qualitative","none","","wraygrace2007"
"compositionality","/>","protolanguage","none","language evolution;","preadaptation","hypothesis","none","""full compositionality is not a property that we have to account for at the dawn of language. ""","wraygrace2007"
"compositionality","/>","language acquisition","none","","preadaptation","qualitative","none","","wraygrace2007"
"degree of shared information",">","linguistic complexity","pos","","none","qualitative","none","","wraygrace2007"
"degree of shared information",">","compositionality","neg","","none","qualitative","none","","wraygrace2007"
"linguistic complexity","<=>","compositionality","none","","none","","none","","wraygrace2007"
"population size",">","linguistic complexity","neg","","none","qualitative","none","","wraygrace2007"
"population size",">","compositionality","pos","","none","qualitative","none","","wraygrace2007"
"preferences in acquisition","/>","compositionality","none","","none","review","none","","wraygrace2007"
"radius of communication",">","compositionality","pos","esoterogeny; exotericity","none","qualitative","none","","wraygrace2007"
"radius of communication",">","linguistic complexity","neg","esoterogeny; exotericity","none","qualitative","none","","wraygrace2007"
"radius of communication",">","informational autonomy of utterances","pos","esoterogeny; exotericity","none","","none","The more you talk to strangers the more likely you are to make informationally automatous utterances because you cannot assume knowledge.","wraygrace2007"
"degree of shared information",">","informational autonomy of utterances","neg","","none","hypothesis","none","","wraygrace2007"
"degree of esoterogeny",">","compositionality","neg","","none","qualitative","none","","wraygrace2007"
"degree of esoterogeny",">","linguistic complexity","pos","","none","qualitative","none","","wraygrace2007"
"preferences in acquisition",">","linguistic complexity","pos","","none","qualitative","none","","wraygrace2007"
